Method,Exam_Score,Bug Type
mbfl ochiai,0.0230769230769,Artificial
sbfl opt2,0.0384615384615,Artificial
sbfl dstar2,0.0384615384615,Artificial
sbfl barinel,0.0384615384615,Artificial
sbfl tarantula,0.0384615384615,Artificial
sbfl ochiai,0.0384615384615,Artificial
mbfl muse,0.0153846153846,Artificial
mbfl ochiai,0.0230769230769,Artificial
sbfl opt2,0.0384615384615,Artificial
sbfl dstar2,0.0384615384615,Artificial
sbfl barinel,0.0384615384615,Artificial
sbfl tarantula,0.0384615384615,Artificial
sbfl ochiai,0.0384615384615,Artificial
mbfl muse,0.00238095238095,Artificial
mbfl ochiai,0.0047619047619,Artificial
sbfl opt2,0.00595238095238,Artificial
sbfl dstar2,0.00595238095238,Artificial
sbfl barinel,0.00595238095238,Artificial
sbfl tarantula,0.00595238095238,Artificial
sbfl ochiai,0.00595238095238,Artificial
mbfl muse,0.000795228628231,Artificial
mbfl ochiai,0.0013916500994,Artificial
sbfl opt2,0.00278330019881,Artificial
sbfl dstar2,0.00278330019881,Artificial
sbfl barinel,0.013916500994,Artificial
sbfl tarantula,0.013916500994,Artificial
sbfl ochiai,0.00278330019881,Artificial
mbfl muse,0.000518134715026,Artificial
mbfl ochiai,0.00414507772021,Artificial
sbfl opt2,0.00854922279793,Artificial
sbfl dstar2,0.00854922279793,Artificial
sbfl barinel,0.00854922279793,Artificial
sbfl tarantula,0.00854922279793,Artificial
sbfl ochiai,0.00854922279793,Artificial
mbfl muse,0.263901869159,Artificial
mbfl ochiai,0.00706775700935,Artificial
sbfl opt2,0.0114485981308,Artificial
sbfl dstar2,0.0114485981308,Artificial
sbfl barinel,0.0114485981308,Artificial
sbfl tarantula,0.0114485981308,Artificial
sbfl ochiai,0.0114485981308,Artificial
mbfl muse,0.232124352332,Artificial
mbfl ochiai,0.00414507772021,Artificial
sbfl opt2,0.00492227979275,Artificial
sbfl dstar2,0.00492227979275,Artificial
sbfl barinel,0.00492227979275,Artificial
sbfl tarantula,0.00492227979275,Artificial
sbfl ochiai,0.00492227979275,Artificial
